Year,Country,Population,Electricity Consumption (TWh)
2000,United States,"282,162,411","3,822"
2000,China,"1,262,645,000","1,347"
2000,India,"1,056,575,549",480
2000,Japan,"126,843,000","1,059"
2000,Germany,"82,211,508",550
2000,Russia,"146,596,994",873
2000,Brazil,"174,790,340",338
2000,Canada,"30,685,730",540
2000,France,"60,912,583",473
2000,United Kingdom,"58,892,514",375
2001,United States,"284,968,955","3,835"
2001,China,"1,271,850,000","1,469"
2001,India,"1,073,274,534",500
2001,Japan,"127,149,000","1,065"
2001,Germany,"82,349,925",556
2001,Russia,"146,052,997",889
2001,Brazil,"177,094,847",345
2001,Canada,"31,020,896",545
2001,France,"61,357,935",485
2001,United Kingdom,"59,119,772",380
2002,United States,"287,625,193","3,858"
2002,China,"1,280,400,000","1,654"
2002,India,"1,089,802,121",519
2002,Japan,"127,435,000","1,080"
2002,Germany,"82,488,489",565
2002,Russia,"145,537,230",915
2002,Brazil,"179,343,266",358
2002,Canada,"31,359,942",558
2002,France,"61,805,170",495
2002,United Kingdom,"59,370,410",382
2003,United States,"290,107,933","3,889"
2003,China,"1,288,400,000","1,911"
2003,India,"1,106,104,111",558
2003,Japan,"127,687,000","1,095"
2003,Germany,"82,536,680",575
2003,Russia,"145,027,331",930
2003,Brazil,"181,517,734",370
2003,Canada,"31,676,011",569
2003,France,"62,244,606",505
2003,United Kingdom,"59,636,547",384
2004,United States,"292,805,298","3,929"
2004,China,"1,296,200,000","2,203"
2004,India,"1,122,154,642",589
2004,Japan,"127,761,000","1,125"
2004,Germany,"82,516,267",578
2004,Russia,"144,526,278",940
2004,Brazil,"183,607,458",385
2004,Canada,"32,001,847",575
2004,France,"62,705,739",512
2004,United Kingdom,"59,997,055",386
2005,United States,"295,516,599","4,054"
2005,China,"1,304,500,000","2,497"
2005,India,"1,147,609,927",630
2005,Japan,"127,756,815","1,114"
2005,Germany,"82,469,422",580
2005,Russia,"143,518,881",952
2005,Brazil,"186,127,103",400
2005,Canada,"32,312,254",581
2005,France,"63,176,218",516
2005,United Kingdom,"60,413,446",385
2006,United States,"298,379,912","4,057"
2006,China,"1,311,800,000","2,866"
2006,India,"1,161,544,196",690
2006,Japan,"127,854,000","1,120"
2006,Germany,"82,376,451",585
2006,Russia,"143,049,637",995
2006,Brazil,"188,078,227",420
2006,Canada,"32,649,475",583
2006,France,"63,621,373",518
2006,United Kingdom,"60,827,100",387
2007,United States,"301,231,207","4,179"
2007,China,"1,317,885,000","3,277"
2007,India,"1,179,681,396",724
2007,Japan,"128,001,000","1,135"
2007,Germany,"82,266,372",590
2007,Russia,"142,805,178","1,015"
2007,Brazil,"190,010,647",445
2007,Canada,"33,026,168",586
2007,France,"64,057,792",520
2007,United Kingdom,"61,313,382",385
2008,United States,"304,093,966","4,119"
2008,China,"1,324,655,000","3,472"
2008,India,"1,197,146,901",750
2008,Japan,"128,063,000","1,100"
2008,Germany,"82,110,097",592
2008,Russia,"142,742,361","1,020"
2008,Brazil,"191,891,010",465
2008,Canada,"33,446,464",588
2008,France,"64,480,059",522
2008,United Kingdom,"61,806,995",380
2009,United States,"306,771,529","3,950"
2009,China,"1,331,260,000","3,715"
2009,India,"1,214,182,122",805
2009,Japan,"128,047,000","1,080"
