Year,State,Population,Energy Consumption (MU)
2000,Andhra Pradesh,"75,041,118","38,541"
2000,Assam,"26,270,593","2,615"
2000,Bihar,"81,733,351","4,402"
2000,Delhi,"13,480,957","17,988"
2000,Gujarat,"49,890,346","44,118"
2000,Haryana,"20,733,835","16,012"
2000,Karnataka,"52,141,385","28,997"
2000,Kerala,"31,544,111","10,210"
2000,Madhya Pradesh,"59,514,220","20,998"
2000,Maharashtra,"95,721,454","69,874"
2000,Odisha,"36,413,440","11,011"
2000,Punjab,"24,019,196","27,114"
2000,Rajasthan,"55,650,757","24,887"
2000,Tamil Nadu,"61,987,654","43,889"
2000,Uttar Pradesh,"164,052,912","33,875"
2000,West Bengal,"79,294,652","20,991"
2001,Andhra Pradesh,"76,210,007","40,094"
2001,Assam,"26,655,528","2,746"
2001,Bihar,"82,998,509","4,588"
2001,Delhi,"13,850,507","18,978"
2001,Gujarat,"50,671,017","45,952"
2001,Haryana,"21,144,564","16,913"
2001,Karnataka,"52,850,562","29,886"
2001,Kerala,"31,841,374","10,740"
2001,Madhya Pradesh,"60,348,023","21,803"
2001,Maharashtra,"96,878,627","71,939"
2001,Odisha,"36,804,660","11,540"
2001,Punjab,"24,358,999","27,998"
2001,Rajasthan,"56,507,188","25,626"
2001,Tamil Nadu,"62,405,679","45,200"
2001,Uttar Pradesh,"166,197,921","34,747"
2001,West Bengal,"80,176,197","21,582"
2002,Andhra Pradesh,"77,378,896","42,156"
2002,Assam,"27,030,463","2,888"
2002,Bihar,"84,263,667","4,799"
2002,Delhi,"14,220,057","20,011"
2002,Gujarat,"51,451,688","48,014"
2002,Haryana,"21,555,293","17,987"
2002,Karnataka,"53,559,739","30,991"
2002,Kerala,"32,138,637","11,301"
2002,Madhya Pradesh,"61,181,826","22,789"
2002,Maharashtra,"98,035,800","74,123"
2002,Odisha,"37,195,880","12,014"
2002,Punjab,"24,698,802","29,011"
2002,Rajasthan,"57,363,619","26,881"
2002,Tamil Nadu,"62,823,704","47,001"
2002,Uttar Pradesh,"168,342,930","35,998"
2002,West Bengal,"81,057,742","22,443"
2003,Andhra Pradesh,"78,547,785","44,551"
2003,Assam,"27,405,398","3,011"
2003,Bihar,"85,528,825","5,011"
2003,Delhi,"14,589,607","21,155"
2003,Gujarat,"52,232,359","50,211"
2003,Haryana,"21,966,022","19,012"
2003,Karnataka,"54,268,916","32,112"
